Salário,Idade,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Brasil,Estado,Linguagem Python,Linguagem R,Linguagem SQL
1500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Pequena,não,de 1 a 2 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
7000.0,"[25,30]",Cientista de Dados,Grande,não,Menos de 1 ano,Empregado (CTL),Mestrado,Estatística/ Matemática / Matemática Computacional,Indústria (Manufatura),1,São Paulo (SP),1,0,1
5000.0,"[31,40]",Analista de BI,Grande,não,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Estatística/ Matemática / Matemática Computacional,Telecomunicação,1,Minas Gerais (MG),0,0,0
2500.0,"[31,40]",,Pequena,sim,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Mestrado,Outras Engenharias,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,1,1
5000.0,"[25,30]",Analista de BI,Média,não,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,Minas Gerais (MG),0,0,1
2500.0,"[25,30]",Outras,Pequena,não,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Outras,1,São Paulo (SP),0,0,0
7000.0,"[25,30]",Engenheiro de Dados,Média,não,de 6 a 10 anos,Empregado (CTL),Não tenho graduação formal,,Tecnologia/Fábrica de Software,1,Paraná (PR),0,0,0
14000.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Média,não,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,,0,0,0
1500.0,"[25,30]",,Pequena,sim,Menos de 1 ano,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),0,0,0
2500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Grande,não,Não tenho experiência na área de dados,Estagiário,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
3500.0,"[18,24]",Analista de Dados,Média,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,São Paulo (SP),1,0,1
3500.0,"[25,30]",Cientista de Dados,Pequena,não,de 1 a 2 anos,Outros,Mestrado,Outras Engenharias,Finanças ou Bancos,1,Rio de Janeiro (RJ),1,1,1
3500.0,"[18,24]",Analista de Dados,Média,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,São Paulo (SP),1,0,1
1500.0,"[18,24]",Analista de BI,Média,não,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,0,0,0
,"[25,30]",,,,de 1 a 2 anos,Outros,Graduação/Bacharelado,Outras Engenharias,,1,Minas Gerais (MG),1,0,1
1500.0,"[25,30]",Outras,Média,não,Não tenho experiência na área de dados,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Seguros ou Previdência,1,Minas Gerais (MG),0,0,0
10000.0,"[25,30]",Engenheiro de Dados,Média,não,Menos de 1 ano,Empregado (CTL),Não tenho graduação formal,,Outras,1,São Paulo (SP),1,0,1
10000.0,"[18,24]",Outras,Grande,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),0,0,0
7000.0,"[31,40]",,Pequena,sim,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
,"[18,24]",,,,Não tenho experiência na área de dados,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),0,0,0
2500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Média,não,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),0,0,0
7000.0,"[25,30]",Analista de BI,Pequena,não,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,Paraná (PR),1,0,1
1500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Média,não,Não tenho experiência na área de dados,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,Minas Gerais (MG),0,0,0
5000.0,"[18,24]",Cientista de Dados,Média,não,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,Paraná (PR),1,0,1
10000.0,"[31,40]",,Pequena,sim,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Espírito Santo (ES),0,0,0
7000.0,"[41,50]",Analista de BI,Média,não,Mais de 10 anos,Empregado (CTL),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
5000.0,"[31,40]",Cientista de Dados,Média,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Outras,Outras,1,São Paulo (SP),1,0,1
1000.0,"[18,24]",Outras,Grande,não,Menos de 1 ano,Estagiário,Graduação/Bacharelado,Outras,Educação,1,São Paulo (SP),0,0,0
14000.0,"[31,40]",,Pequena,sim,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Doutorado ou Phd,Outras,Educação,1,São Paulo (SP),0,0,0
1500.0,"[18,24]",Outras,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,,0,0,0
14000.0,"[25,30]",Cientista de Dados,Média,não,de 4 a 5 anos,Empregado (CTL),Pós-graduação,Outras Engenharias,Outras,1,São Paulo (SP),1,0,1
14000.0,"[31,40]",,Média,sim,de 4 a 5 anos,Empregado (CTL),Mestrado,Outras Engenharias,Telecomunicação,1,São Paulo (SP),1,1,1
,"[25,30]",,,,Não tenho experiência na área de dados,Outros,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,1,,0,0,0
5000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Média,não,Mais de 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),0,0,0
7000.0,"[31,40]",,Média,sim,de 1 a 2 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,,1,0,0
7000.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Média,não,de 1 a 2 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
3500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Grande,não,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Outras Engenharias,Indústria (Manufatura),1,,0,0,0
,"[25,30]",,,,Menos de 1 ano,Outros,Estudante de Graduação,Outras Engenharias,,1,Minas Gerais (MG),0,0,0
3500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Grande,não,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),0,0,0
5000.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Média,não,de 6 a 10 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Paraná (PR),0,0,1
,"[18,24]",,,,de 4 a 5 anos,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),1,1,1
2500.0,"[18,24]",Engenheiro de Dados,Média,não,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,1,1
5000.0,"[25,30]",Analista de BI,Média,não,de 2 a 3 anos,Empregado (CTL),Graduação/Bacharelado,Outras,Setor Alimentício,1,Minas Gerais (MG),0,0,1
14000.0,"[31,40]",Cientista de Dados,Grande,não,de 4 a 5 anos,Outros,Mestrado,Química / Física,Setor Público,1,,1,0,1
10000.0,"[31,40]",,Média,sim,Não tenho experiência na área de dados,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,Rio Grande do Sul (RS),0,0,0
7000.0,"[41,50]",Analista de BI,Grande,não,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Outras Engenharias,Tecnologia/Fábrica de Software,1,Rio de Janeiro (RJ),0,0,0
7000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
1500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Média,não,Não tenho experiência na área de dados,Estagiário,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Finanças ou Bancos,1,Rio de Janeiro (RJ),0,0,0
5000.0,"[18,24]",Analista de BI,Grande,não,de 2 a 3 anos,Empregado (CTL),Graduação/Bacharelado,Outras,Varejo,1,São Paulo (SP),0,0,0
,"[31,40]",,,,Menos de 1 ano,Outros,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),1,0,1
7000.0,"[31,40]",,Média,sim,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,Minas Gerais (MG),0,0,0
1500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Pequena,não,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Outras Engenharias,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
7000.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Grande,não,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,1
2500.0,"[18,24]",Cientista de Dados,Pequena,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Outras,1,Paraná (PR),1,1,1
5000.0,"[25,30]",Analista de BI,Média,não,Menos de 1 ano,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),0,0,0
2500.0,"[18,24]",Cientista de Dados,Grande,não,de 1 a 2 anos,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,,1,0,1
,"[25,30]",,,,Menos de 1 ano,Outros,Estudante de Graduação,Outras,,1,Rio de Janeiro (RJ),0,0,0
7000.0,,Outras,Pequena,não,de 1 a 2 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
1500.0,"[25,30]",,Pequena,sim,de 1 a 2 anos,Outros,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),0,0,1
3500.0,"[31,40]",Analista de Dados,Grande,não,de 4 a 5 anos,Empregado (CTL),Estudante de Graduação,Outras,Outras,1,São Paulo (SP),0,0,0
,"[41,50]",,,,Mais de 10 anos,Outros,Mestrado,Química / Física,,1,Paraná (PR),0,0,0
,"[18,24]",,,,Não tenho experiência na área de dados,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),0,0,0
5000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Média,não,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Espírito Santo (ES),1,1,1
7000.0,"[25,30]",Engenheiro de Dados,Grande,não,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,0,,1,0,1
7000.0,"[31,40]",Analista de Dados,Pequena,não,de 6 a 10 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,1,0,1
14000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),1,0,1
,"[25,30]",,,,Menos de 1 ano,Outros,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Minas Gerais (MG),1,1,1
22500.0,"[31,40]",,Grande,sim,Menos de 1 ano,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),0,0,0
,"[25,30]",,,,Menos de 1 ano,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Paraná (PR),1,1,1
,"[18,24]",,,,Não tenho experiência na área de dados,Outros,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,,1,Rio Grande do Sul (RS),1,0,1
5000.0,"[25,30]",Engenheiro de Dados,Média,não,de 4 a 5 anos,Empregado (CTL),Não tenho graduação formal,,Varejo,1,Paraná (PR),1,1,1
14000.0,"[31,40]",Engenheiro de Dados,Grande,não,de 1 a 2 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,São Paulo (SP),1,0,0
2500.0,"[25,30]",Outras,Pequena,não,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,Rio de Janeiro (RJ),0,0,0
14000.0,"[18,24]",Engenheiro de Dados,Média,não,de 2 a 3 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),1,0,1
10000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,Mais de 10 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),0,0,0
3500.0,"[18,24]",Analista de BI,Grande,não,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Minas Gerais (MG),0,0,1
2500.0,"[18,24]",Outras,Grande,não,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Outras Engenharias,Indústria (Manufatura),1,Minas Gerais (MG),1,1,0
7000.0,"[31,40]",Outras,Grande,não,Mais de 10 anos,Empregado (CTL),Pós-graduação,Outras,Educação,1,São Paulo (SP),0,0,0
2500.0,"[25,30]",Analista de BI,Grande,não,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Telecomunicação,1,Minas Gerais (MG),0,0,1
5000.0,"[31,40]",Outras,Média,não,de 4 a 5 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,,0,0,0
2500.0,"[18,24]",Outras,Grande,não,de 2 a 3 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,,1,1,1
14000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,Não tenho experiência na área de dados,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
1000.0,"[18,24]",Cientista de Dados,Média,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Minas Gerais (MG),1,0,0
10000.0,"[25,30]",Analista de Dados,Grande,não,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Outras,Finanças ou Bancos,1,São Paulo (SP),0,1,0
3500.0,"[25,30]",Analista de BI,Grande,não,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Estatística/ Matemática / Matemática Computacional,Indústria (Manufatura),1,São Paulo (SP),0,0,0
10000.0,"[31,40]",Engenheiro de Dados,Pequena,não,de 4 a 5 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Entretenimento ou Esportes,1,Rio de Janeiro (RJ),1,0,1
1000.0,"[25,30]",Analista de BI,Grande,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),1,Minas Gerais (MG),0,0,0
10000.0,"[25,30]",,Média,sim,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
10000.0,"[41,50]",Desenvolvedor/Engenheiro de Software,Média,não,de 6 a 10 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
5000.0,"[25,30]",Cientista de Dados,Média,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),1,0,0
5000.0,"[25,30]",Outras,Média,não,Não tenho experiência na área de dados,Empregado (CTL),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
2500.0,"[25,30]",Analista de Dados,Média,não,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Varejo,1,Paraná (PR),0,0,1
7000.0,"[31,40]",Cientista de Dados,Média,não,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),1,0,1
5000.0,"[25,30]",Analista de BI,Média,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Internet/Ecommerce,1,São Paulo (SP),1,0,1
7000.0,"[25,30]",Engenheiro de Dados,Grande,não,Menos de 1 ano,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,São Paulo (SP),1,1,1
3500.0,"[25,30]",Analista de Dados,Grande,não,de 2 a 3 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Varejo,0,,1,0,1
5000.0,"[18,24]",,Grande,sim,de 2 a 3 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),1,Minas Gerais (MG),1,0,1
10000.0,"[25,30]",Outras,Pequena,não,de 2 a 3 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Seguros ou Previdência,1,Rio de Janeiro (RJ),0,0,0
7000.0,"[25,30]",Engenheiro de Dados,Média,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),0,0,0
10000.0,"[31,40]",,Pequena,sim,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Outras,1,,0,0,0
5000.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Média,não,de 4 a 5 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
10000.0,"[25,30]",Engenheiro de Dados,Grande,não,de 4 a 5 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,Rio Grande do Sul (RS),1,0,1
5000.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Grande,não,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
,"[18,24]",,,,Menos de 1 ano,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Minas Gerais (MG),0,0,0
3500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Média,não,Não tenho experiência na área de dados,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Paraná (PR),0,0,0
3500.0,"[31,40]",Outras,Grande,não,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Outras,Outras,1,Minas Gerais (MG),0,0,0
5000.0,"[25,30]",,Grande,sim,de 4 a 5 anos,Empregado (CTL),Pós-graduação,Outras Engenharias,Educação,1,,1,0,1
10000.0,"[31,40]",Analista de Dados,Grande,não,Menos de 1 ano,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),1,0,1
14000.0,"[31,40]",,Grande,sim,Mais de 10 anos,Empregado (CTL),Pós-graduação,Estatística/ Matemática / Matemática Computacional,Outras,1,São Paulo (SP),1,1,1
5000.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Grande,não,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
,"[31,40]",,,,Não tenho experiência na área de dados,Outros,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,1,Rio de Janeiro (RJ),0,0,0
3500.0,"[31,40]",Analista de BI,Média,não,Menos de 1 ano,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
3500.0,"[41,50]",Desenvolvedor/Engenheiro de Software,Média,não,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
3500.0,"[31,40]",Cientista de Dados,Grande,não,de 2 a 3 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Santa Catarina (SC),0,0,0
3500.0,"[31,40]",Outras,Grande,não,Não tenho experiência na área de dados,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,São Paulo (SP),0,0,0
1500.0,"[18,24]",Analista de BI,Pequena,não,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Outras,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),1,0,1
7000.0,"[18,24]",Analista de BI,Grande,não,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Finanças ou Bancos,1,São Paulo (SP),1,0,1
1000.0,"[31,40]",Outras,Pequena,não,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Marketing,1,Paraná (PR),1,1,0
5000.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Grande,não,de 1 a 2 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Paraná (PR),0,0,0
3500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Pequena,não,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
3500.0,"[25,30]",Outras,Média,não,Não tenho experiência na área de dados,Empregado (CTL),Pós-graduação,Outras Engenharias,Indústria (Manufatura),1,Minas Gerais (MG),0,0,0
7000.0,"[31,40]",Analista de BI,Grande,não,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
10000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
5000.0,"[25,30]",,Grande,sim,de 2 a 3 anos,Empregado (CTL),Mestrado,Economia/ Administração / Contabilidade / Finanças,Setor Público,1,Rio de Janeiro (RJ),1,0,1
3500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Média,não,de 6 a 10 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,São Paulo (SP),0,0,0
2500.0,"[31,40]",Analista de BI,Grande,não,Menos de 1 ano,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),0,0,1
1500.0,"[25,30]",Outras,Pequena,não,Não tenho experiência na área de dados,Empregado (CTL),Não tenho graduação formal,,Educação,1,São Paulo (SP),0,0,0
7000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Pequena,não,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Rio de Janeiro (RJ),0,0,0
10000.0,"[41,50]",Outras,Grande,não,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Farmaceutico,1,Rio Grande do Sul (RS),1,0,1
5000.0,"[18,24]",Outras,Grande,não,de 1 a 2 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,Minas Gerais (MG),0,0,0
3500.0,"[18,24]",Engenheiro de Dados,Grande,não,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),1,0,1
10000.0,"[25,30]",,Média,sim,de 1 a 2 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
,"[25,30]",,,,de 1 a 2 anos,Outros,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,1,,1,1,0
,"[18,24]",,,,Não tenho experiência na área de dados,Outros,Graduação/Bacharelado,Outras Engenharias,,1,Rio de Janeiro (RJ),0,0,0
10000.0,"[25,30]",,Pequena,sim,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,São Paulo (SP),1,0,1
10000.0,"[31,40]",Engenheiro de Dados,Pequena,não,Mais de 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Rio de Janeiro (RJ),0,0,0
10000.0,"[25,30]",Cientista de Dados,Grande,não,de 1 a 2 anos,Empregado (CTL),Mestrado,Outras Engenharias,Finanças ou Bancos,1,São Paulo (SP),1,1,1
5000.0,"[25,30]",,Grande,sim,Menos de 1 ano,Empregado (CTL),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Indústria (Manufatura),1,Paraná (PR),1,1,0
